"Plot Title: HOBO 10A Room 12"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10561442, SEN S/N: 10561442)","RH, % (LGR S/N: 10561442, SEN S/N: 10561442)","DewPt, °C (LGR S/N: 10561442, SEN S/N: 10561442)","Host Connected (LGR S/N: 10561442, SEN S/N: 10561442)","End Of File (LGR S/N: 10561442, SEN S/N: 10561442)"
1,07/15/2014 04:00:00 PM,27.560,67.050,20.918,,
2,07/15/2014 04:01:00 PM,27.560,66.686,20.829,,
3,07/15/2014 04:02:00 PM,27.536,67.197,20.931,,
4,07/15/2014 04:03:00 PM,27.536,67.015,20.886,,
5,07/15/2014 04:04:00 PM,27.511,67.405,20.957,,
6,07/15/2014 04:05:00 PM,27.511,67.254,20.921,,
7,07/15/2014 04:06:00 PM,27.536,67.288,20.953,,
8,07/15/2014 04:07:00 PM,27.536,67.410,20.982,,
9,07/15/2014 04:08:00 PM,27.511,67.254,20.921,,
10,07/15/2014 04:09:00 PM,27.511,67.193,20.906,,
11,07/15/2014 04:10:00 PM,27.536,67.258,20.945,,
12,07/15/2014 04:11:00 PM,27.560,67.353,20.992,,
13,07/15/2014 04:12:00 PM,27.560,67.171,20.948,,
14,07/15/2014 04:13:00 PM,27.560,67.293,20.977,,
15,07/15/2014 04:14:00 PM,27.536,67.349,20.967,,
16,07/15/2014 04:15:00 PM,27.511,67.769,21.045,,
17,07/15/2014 04:16:00 PM,27.536,67.531,21.011,,
18,07/15/2014 04:17:00 PM,27.560,67.566,21.043,,
19,07/15/2014 04:18:00 PM,27.560,67.414,21.006,,
20,07/15/2014 04:19:00 PM,27.585,67.691,21.097,,
21,07/15/2014 04:20:00 PM,27.609,67.392,21.048,,
22,07/15/2014 04:21:00 PM,27.585,67.449,21.038,,
23,07/15/2014 04:22:00 PM,27.560,67.747,21.087,,
24,07/15/2014 04:23:00 PM,27.585,67.479,21.046,,
25,07/15/2014 04:24:00 PM,27.585,67.721,21.104,,
26,07/15/2014 04:25:00 PM,27.609,67.695,21.121,,
27,07/15/2014 04:26:00 PM,27.609,67.483,21.070,,
28,07/15/2014 04:27:00 PM,27.634,67.578,21.117,,
29,07/15/2014 04:28:00 PM,27.609,67.907,21.172,,
30,07/15/2014 04:29:00 PM,27.585,67.903,21.148,,
31,07/15/2014 04:30:00 PM,27.634,67.760,21.160,,
32,07/15/2014 04:31:00 PM,27.634,67.669,21.139,,
33,07/15/2014 04:32:00 PM,27.659,67.643,21.156,,
34,07/15/2014 04:33:00 PM,27.659,67.431,21.105,,
35,07/15/2014 04:34:00 PM,27.634,68.002,21.219,,
36,07/15/2014 04:35:00 PM,27.609,67.665,21.114,,
37,07/15/2014 04:36:00 PM,27.609,67.756,21.136,,
38,07/15/2014 04:37:00 PM,27.634,67.336,21.058,,
39,07/15/2014 04:38:00 PM,27.659,67.280,21.068,,
40,07/15/2014 04:39:00 PM,27.659,67.553,21.134,,
41,07/15/2014 04:40:00 PM,27.683,67.314,21.100,,
42,07/15/2014 04:41:00 PM,27.659,67.795,21.192,,
43,07/15/2014 04:42:00 PM,27.659,67.401,21.097,,
44,07/15/2014 04:43:00 PM,27.659,67.643,21.156,,
45,07/15/2014 04:44:00 PM,27.659,67.795,21.192,,
46,07/15/2014 04:45:00 PM,27.659,67.280,21.068,,
47,07/15/2014 04:46:00 PM,27.683,67.557,21.158,,
48,07/15/2014 04:47:00 PM,27.659,67.401,21.097,,
49,07/15/2014 04:48:00 PM,27.659,67.704,21.170,,
50,07/15/2014 04:49:00 PM,27.659,67.371,21.090,,
51,07/15/2014 04:50:00 PM,27.659,67.553,21.134,,
52,07/15/2014 04:51:00 PM,27.683,67.678,21.188,,
53,07/15/2014 04:52:00 PM,27.683,67.163,21.063,,
54,07/15/2014 04:53:00 PM,27.708,67.106,21.073,,
55,07/15/2014 04:54:00 PM,27.708,67.379,21.139,,
56,07/15/2014 04:55:00 PM,27.708,67.137,21.080,,
57,07/15/2014 04:56:00 PM,27.683,67.587,21.166,,
58,07/15/2014 04:57:00 PM,27.683,67.405,21.122,,
59,07/15/2014 04:58:00 PM,27.708,67.015,21.050,,
60,07/15/2014 04:59:00 PM,27.708,67.561,21.183,,
61,07/15/2014 05:00:00 PM,27.683,67.254,21.085,,
62,07/15/2014 05:01:00 PM,27.683,67.436,21.129,,
63,07/15/2014 05:02:00 PM,27.708,67.622,21.198,,
64,07/15/2014 05:03:00 PM,27.708,67.379,21.139,,
65,07/15/2014 05:04:00 PM,27.733,67.353,21.156,,
66,07/15/2014 05:05:00 PM,27.708,67.319,21.124,,
67,07/15/2014 05:06:00 PM,27.733,67.171,21.112,,
68,07/15/2014 05:07:00 PM,27.708,67.440,21.154,,
69,07/15/2014 05:08:00 PM,27.733,67.414,21.171,,
70,07/15/2014 05:09:00 PM,27.757,67.145,21.129,,
71,07/15/2014 05:10:00 PM,27.733,67.596,21.215,,
72,07/15/2014 05:11:00 PM,27.733,67.414,21.171,,
73,07/15/2014 05:12:00 PM,27.757,67.327,21.173,,
74,07/15/2014 05:13:00 PM,27.733,67.717,21.244,,
75,07/15/2014 05:14:00 PM,27.708,67.622,21.198,,
76,07/15/2014 05:15:00 PM,27.708,67.501,21.168,,
77,07/15/2014 05:16:00 PM,27.708,67.470,21.161,,
78,07/15/2014 05:17:00 PM,27.683,68.132,21.297,,
79,07/15/2014 05:18:00 PM,27.683,67.496,21.144,,
80,07/15/2014 05:19:00 PM,27.708,67.864,21.256,,
81,07/15/2014 05:20:00 PM,27.733,67.959,21.302,,
82,07/15/2014 05:21:00 PM,27.733,67.626,21.222,,
83,07/15/2014 05:22:00 PM,27.757,67.812,21.290,,
84,07/15/2014 05:23:00 PM,27.733,67.747,21.251,,
85,07/15/2014 05:24:00 PM,27.757,67.752,21.276,,
86,07/15/2014 05:25:00 PM,27.733,67.899,21.288,,
87,07/15/2014 05:26:00 PM,27.733,67.838,21.273,,
88,07/15/2014 05:27:00 PM,27.733,67.959,21.302,,
89,07/15/2014 05:28:00 PM,27.757,67.964,21.327,,
90,07/15/2014 05:29:00 PM,27.782,67.635,21.271,,
91,07/15/2014 05:30:00 PM,27.782,67.938,21.344,,
92,07/15/2014 05:31:00 PM,27.782,67.998,21.359,,
93,07/15/2014 05:32:00 PM,27.782,67.998,21.359,,
94,07/15/2014 05:33:00 PM,27.807,68.033,21.391,,
95,07/15/2014 05:34:00 PM,27.831,68.158,21.444,,
96,07/15/2014 05:35:00 PM,27.807,68.305,21.456,,
97,07/15/2014 05:36:00 PM,27.807,68.275,21.449,,
98,07/15/2014 05:37:00 PM,27.856,65.945,20.929,,
99,07/15/2014 05:38:00 PM,27.930,64.337,20.597,,
100,07/15/2014 05:39:00 PM,27.955,63.050,20.293,,
101,07/15/2014 05:40:00 PM,28.004,61.916,20.045,,
102,07/15/2014 05:41:00 PM,28.103,60.692,19.815,,
103,07/15/2014 05:42:00 PM,28.153,59.735,19.605,,
104,07/15/2014 05:43:00 PM,28.177,58.833,19.383,,
105,07/15/2014 05:44:00 PM,28.227,57.839,19.156,,
106,07/15/2014 05:45:00 PM,28.202,59.212,19.510,,
107,07/15/2014 05:46:00 PM,28.202,60.210,19.780,,
108,07/15/2014 05:47:00 PM,28.153,61.692,20.126,,
109,07/15/2014 05:48:00 PM,28.078,62.762,20.335,,
110,07/15/2014 05:49:00 PM,28.054,63.220,20.430,,
111,07/15/2014 05:50:00 PM,28.054,63.405,20.477,,
112,07/15/2014 05:51:00 PM,28.029,64.384,20.703,,
113,07/15/2014 05:52:00 PM,28.004,65.023,20.840,,
114,07/15/2014 05:53:00 PM,27.980,65.233,20.869,,
115,07/15/2014 05:54:00 PM,27.955,65.718,20.966,,
116,07/15/2014 05:55:00 PM,27.930,66.080,21.032,,
117,07/15/2014 05:56:00 PM,27.930,65.866,20.980,,
118,07/15/2014 05:57:00 PM,27.955,66.023,21.042,,
119,07/15/2014 05:58:00 PM,27.905,66.897,21.210,,
120,07/15/2014 05:59:00 PM,27.905,66.715,21.165,,
121,07/15/2014 06:00:00 PM,27.881,66.802,21.163,,
122,07/15/2014 06:01:00 PM,27.881,67.045,21.222,,
