"Plot Title: HOBO 1A Chamber 1"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10561439, SEN S/N: 10561439)","RH, % (LGR S/N: 10561439, SEN S/N: 10561439)","DewPt, °C (LGR S/N: 10561439, SEN S/N: 10561439)","Button Down (LGR S/N: 10561439, SEN S/N: 10561439)","Button Up (LGR S/N: 10561439, SEN S/N: 10561439)","Stopped (LGR S/N: 10561439, SEN S/N: 10561439)","End Of File (LGR S/N: 10561439, SEN S/N: 10561439)"
1,07/21/2014 08:30:00 AM,21.967,62.857,14.587,,,,
2,07/21/2014 08:31:00 AM,22.350,66.381,15.799,,,,
3,07/21/2014 08:32:00 AM,22.661,67.093,16.263,,,,
4,07/21/2014 08:33:00 AM,22.853,66.319,16.263,,,,
5,07/21/2014 08:34:00 AM,22.925,65.942,16.242,,,,
6,07/21/2014 08:35:00 AM,22.901,66.507,16.354,,,,
7,07/21/2014 08:36:00 AM,22.805,67.029,16.385,,,,
8,07/21/2014 08:37:00 AM,22.757,67.409,16.428,,,,
9,07/21/2014 08:38:00 AM,22.685,67.843,16.461,,,,
10,07/21/2014 08:39:00 AM,22.613,68.425,16.527,,,,
11,07/21/2014 08:40:00 AM,22.565,68.684,16.540,,,,
12,07/21/2014 08:41:00 AM,22.565,68.625,16.527,,,,
13,07/21/2014 08:42:00 AM,22.565,68.773,16.561,,,,
14,07/21/2014 08:43:00 AM,22.541,69.006,16.591,,,,
15,07/21/2014 08:44:00 AM,22.541,69.184,16.632,,,,
16,07/21/2014 08:45:00 AM,22.565,68.892,16.588,,,,
17,07/21/2014 08:46:00 AM,22.589,68.659,16.557,,,,
18,07/21/2014 08:47:00 AM,22.589,68.688,16.564,,,,
19,07/21/2014 08:48:00 AM,22.565,68.832,16.574,,,,
20,07/21/2014 08:49:00 AM,22.565,68.832,16.574,,,,
21,07/21/2014 08:50:00 AM,22.565,68.892,16.588,,,,
22,07/21/2014 08:51:00 AM,22.565,68.892,16.588,,,,
23,07/21/2014 08:52:00 AM,22.565,68.773,16.561,,,,
24,07/21/2014 08:53:00 AM,22.565,68.803,16.567,,,,
25,07/21/2014 08:54:00 AM,22.565,68.951,16.601,,,,
26,07/21/2014 08:55:00 AM,22.589,68.837,16.598,,,,
27,07/21/2014 08:56:00 AM,22.613,68.693,16.588,,,,
28,07/21/2014 08:57:00 AM,22.613,68.930,16.642,,,,
29,07/21/2014 08:58:00 AM,22.613,69.078,16.676,,,,
30,07/21/2014 08:59:00 AM,22.637,68.786,16.632,,,,
31,07/21/2014 09:00:00 AM,22.637,68.816,16.639,,,,
32,07/21/2014 09:01:00 AM,22.637,68.786,16.632,,,,
