"Plot Title: HOBO 3A Chamber 3"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10561444, SEN S/N: 10561444)","RH, % (LGR S/N: 10561444, SEN S/N: 10561444)","DewPt, °C (LGR S/N: 10561444, SEN S/N: 10561444)","Host Connected (LGR S/N: 10561444, SEN S/N: 10561444)","End Of File (LGR S/N: 10561444, SEN S/N: 10561444)"
1,07/21/2014 08:30:00 AM,21.728,62.273,14.216,,
2,07/21/2014 08:31:00 AM,21.823,61.530,14.121,,
3,07/21/2014 08:32:00 AM,22.110,60.938,14.242,,
4,07/21/2014 08:33:00 AM,22.373,61.285,14.578,,
5,07/21/2014 08:34:00 AM,22.565,60.186,14.478,,
6,07/21/2014 08:35:00 AM,22.709,60.607,14.721,,
7,07/21/2014 08:36:00 AM,22.757,61.255,14.931,,
8,07/21/2014 08:37:00 AM,22.781,61.564,15.032,,
9,07/21/2014 08:38:00 AM,22.781,61.716,15.070,,
10,07/21/2014 08:39:00 AM,22.781,62.020,15.147,,
11,07/21/2014 08:40:00 AM,22.805,61.933,15.148,,
12,07/21/2014 08:41:00 AM,22.853,61.819,15.164,,
13,07/21/2014 08:42:00 AM,22.877,61.610,15.134,,
14,07/21/2014 08:43:00 AM,22.877,61.671,15.149,,
15,07/21/2014 08:44:00 AM,22.925,61.831,15.235,,
16,07/21/2014 08:45:00 AM,22.997,60.958,15.081,,
17,07/21/2014 08:46:00 AM,23.021,61.176,15.160,,
18,07/21/2014 08:47:00 AM,23.045,60.905,15.113,,
19,07/21/2014 08:48:00 AM,23.069,60.572,15.050,,
20,07/21/2014 08:49:00 AM,23.117,60.151,14.987,,
21,07/21/2014 08:50:00 AM,23.141,60.094,14.995,,
22,07/21/2014 08:51:00 AM,23.141,59.849,14.931,,
23,07/21/2014 08:52:00 AM,23.189,59.580,14.906,,
24,07/21/2014 08:53:00 AM,23.117,59.630,14.852,,
25,07/21/2014 08:54:00 AM,23.117,59.630,14.852,,
26,07/21/2014 08:55:00 AM,23.117,59.845,14.908,,
27,07/21/2014 08:56:00 AM,23.117,59.630,14.852,,
28,07/21/2014 08:57:00 AM,23.141,59.296,14.787,,
29,07/21/2014 08:58:00 AM,23.165,59.115,14.762,,
30,07/21/2014 08:59:00 AM,23.189,58.965,14.745,,
31,07/21/2014 09:00:00 AM,23.189,58.873,14.721,,
32,07/21/2014 09:01:00 AM,23.141,59.265,14.779,,
33,07/21/2014 09:02:00 AM,23.117,59.323,14.771,,
34,07/21/2014 09:03:00 AM,23.141,58.681,14.625,,
35,07/21/2014 09:04:00 AM,23.117,59.015,14.691,,
36,07/21/2014 09:05:00 AM,23.117,58.923,14.667,,
37,07/21/2014 09:06:00 AM,23.141,58.527,14.584,,
38,07/21/2014 09:07:00 AM,23.117,58.708,14.610,,
39,07/21/2014 09:08:00 AM,23.141,58.835,14.666,,
40,07/21/2014 09:09:00 AM,23.093,58.981,14.659,,
41,07/21/2014 09:10:00 AM,23.069,58.793,14.587,,
42,07/21/2014 09:11:00 AM,23.093,58.612,14.562,,
