"Plot Title: HOBO 6A Chamber 5B"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10561436, SEN S/N: 10561436)","RH, % (LGR S/N: 10561436, SEN S/N: 10561436)","DewPt, °C (LGR S/N: 10561436, SEN S/N: 10561436)","Host Connected (LGR S/N: 10561436, SEN S/N: 10561436)","End Of File (LGR S/N: 10561436, SEN S/N: 10561436)"
1,07/21/2014 08:30:00 AM,21.226,67.018,14.879,,
2,07/21/2014 08:31:00 AM,21.226,68.589,15.239,,
3,07/21/2014 08:32:00 AM,21.561,65.915,14.939,,
4,07/21/2014 08:33:00 AM,21.871,66.775,15.436,,
5,07/21/2014 08:34:00 AM,22.110,67.949,15.937,,
6,07/21/2014 08:35:00 AM,22.278,68.988,16.335,,
7,07/21/2014 08:36:00 AM,22.421,70.314,16.773,,
8,07/21/2014 08:37:00 AM,22.493,69.678,16.698,,
9,07/21/2014 08:38:00 AM,22.565,68.357,16.465,,
10,07/21/2014 08:39:00 AM,22.613,69.019,16.663,,
11,07/21/2014 08:40:00 AM,22.733,69.456,16.877,,
12,07/21/2014 08:41:00 AM,22.757,68.897,16.772,,
13,07/21/2014 08:42:00 AM,22.781,67.323,16.431,,
14,07/21/2014 08:43:00 AM,22.781,68.247,16.646,,
15,07/21/2014 08:44:00 AM,22.829,69.028,16.871,,
16,07/21/2014 08:45:00 AM,22.877,67.877,16.652,,
17,07/21/2014 08:46:00 AM,22.853,67.336,16.503,,
18,07/21/2014 08:47:00 AM,22.829,68.196,16.680,,
19,07/21/2014 08:48:00 AM,22.853,68.884,16.861,,
20,07/21/2014 08:49:00 AM,22.829,69.473,16.973,,
21,07/21/2014 08:50:00 AM,22.829,67.272,16.465,,
22,07/21/2014 08:51:00 AM,22.829,67.362,16.486,,
23,07/21/2014 08:52:00 AM,22.853,68.171,16.697,,
24,07/21/2014 08:53:00 AM,22.853,67.277,16.489,,
25,07/21/2014 08:54:00 AM,22.853,68.290,16.724,,
26,07/21/2014 08:55:00 AM,22.805,68.876,16.813,,
27,07/21/2014 08:56:00 AM,22.805,66.760,16.322,,
28,07/21/2014 08:57:00 AM,22.829,67.153,16.437,,
29,07/21/2014 08:58:00 AM,22.805,68.043,16.622,,
30,07/21/2014 08:59:00 AM,22.781,68.960,16.810,,
31,07/21/2014 09:00:00 AM,22.757,69.578,16.928,,
32,07/21/2014 09:01:00 AM,22.757,66.183,16.140,,
33,07/21/2014 09:02:00 AM,22.757,65.493,15.975,,
34,07/21/2014 09:03:00 AM,22.757,66.662,16.253,,
35,07/21/2014 09:04:00 AM,22.757,67.439,16.435,,
36,07/21/2014 09:05:00 AM,22.781,68.574,16.721,,
37,07/21/2014 09:06:00 AM,22.781,69.553,16.945,,
38,07/21/2014 09:07:00 AM,22.757,66.033,16.104,,
39,07/21/2014 09:08:00 AM,22.781,65.917,16.100,,
40,07/21/2014 09:09:00 AM,22.781,66.935,16.340,,
41,07/21/2014 09:10:00 AM,22.757,68.124,16.594,,
42,07/21/2014 09:11:00 AM,22.781,68.337,16.666,,
43,07/21/2014 09:12:00 AM,22.781,67.503,16.473,,
44,07/21/2014 09:13:00 AM,22.805,68.698,16.772,,
45,07/21/2014 09:14:00 AM,22.757,69.697,16.955,,
46,07/21/2014 09:15:00 AM,22.757,67.319,16.407,,
47,07/21/2014 09:16:00 AM,22.757,67.319,16.407,,
48,07/21/2014 09:17:00 AM,22.757,68.064,16.581,,
49,07/21/2014 09:18:00 AM,22.757,68.778,16.745,,
50,07/21/2014 09:19:00 AM,22.757,67.737,16.505,,
51,07/21/2014 09:20:00 AM,22.781,67.562,16.487,,
52,07/21/2014 09:21:00 AM,22.757,68.719,16.731,,
53,07/21/2014 09:22:00 AM,22.757,67.558,16.463,,
54,07/21/2014 09:23:00 AM,22.757,68.540,16.690,,
55,07/21/2014 09:24:00 AM,22.733,69.633,16.917,,
56,07/21/2014 09:25:00 AM,22.733,66.059,16.088,,
57,07/21/2014 09:26:00 AM,22.781,64.955,15.869,,
58,07/21/2014 09:27:00 AM,22.757,66.093,16.118,,
59,07/21/2014 09:28:00 AM,22.757,67.319,16.407,,
60,07/21/2014 09:29:00 AM,22.757,68.302,16.636,,
61,07/21/2014 09:30:00 AM,22.757,69.519,16.914,,
62,07/21/2014 09:31:00 AM,22.709,68.947,16.738,,
63,07/21/2014 09:32:00 AM,22.733,66.209,16.123,,
64,07/21/2014 09:33:00 AM,22.733,67.166,16.349,,
65,07/21/2014 09:34:00 AM,22.709,68.264,16.581,,
66,07/21/2014 09:35:00 AM,22.733,69.278,16.836,,
67,07/21/2014 09:36:00 AM,22.733,67.464,16.418,,
68,07/21/2014 09:37:00 AM,22.709,66.444,16.156,,
69,07/21/2014 09:38:00 AM,22.709,67.669,16.443,,
70,07/21/2014 09:39:00 AM,22.709,68.532,16.643,,
71,07/21/2014 09:40:00 AM,22.757,68.302,16.636,,
72,07/21/2014 09:41:00 AM,22.781,67.294,16.424,,
73,07/21/2014 09:42:00 AM,22.757,68.451,16.670,,
74,07/21/2014 09:43:00 AM,22.757,68.481,16.677,,
75,07/21/2014 09:44:00 AM,22.757,66.901,16.309,,
76,07/21/2014 09:45:00 AM,22.733,67.494,16.425,,
77,07/21/2014 09:46:00 AM,22.709,68.205,16.567,,
78,07/21/2014 09:47:00 AM,22.709,69.096,16.772,,
79,07/21/2014 09:48:00 AM,22.709,68.443,16.622,,
80,07/21/2014 09:49:00 AM,22.685,67.157,16.301,,
81,07/21/2014 09:50:00 AM,22.709,67.758,16.464,,
82,07/21/2014 09:51:00 AM,22.733,68.387,16.632,,
83,07/21/2014 09:52:00 AM,22.757,68.005,16.567,,
84,07/21/2014 09:53:00 AM,22.757,68.243,16.622,,
85,07/21/2014 09:54:00 AM,22.781,68.188,16.632,,
86,07/21/2014 09:55:00 AM,22.781,68.337,16.666,,
87,07/21/2014 09:56:00 AM,22.781,66.935,16.340,,
88,07/21/2014 09:57:00 AM,22.781,67.353,16.438,,
89,07/21/2014 09:58:00 AM,22.781,67.979,16.584,,
90,07/21/2014 09:59:00 AM,22.733,69.219,16.823,,
91,07/21/2014 10:00:00 AM,22.733,69.426,16.870,,
92,07/21/2014 10:01:00 AM,22.757,66.213,16.147,,
93,07/21/2014 10:02:00 AM,22.781,66.127,16.149,,
94,07/21/2014 10:03:00 AM,22.781,67.353,16.438,,
95,07/21/2014 10:04:00 AM,22.757,68.511,16.684,,
96,07/21/2014 10:05:00 AM,22.781,69.257,16.877,,
97,07/21/2014 10:06:00 AM,22.757,67.200,16.379,,
98,07/21/2014 10:07:00 AM,22.757,66.542,16.225,,
99,07/21/2014 10:08:00 AM,22.781,67.503,16.473,,
100,07/21/2014 10:09:00 AM,22.781,68.337,16.666,,
101,07/21/2014 10:10:00 AM,22.805,67.507,16.497,,
102,07/21/2014 10:11:00 AM,22.805,67.775,16.559,,
103,07/21/2014 10:12:00 AM,22.829,68.910,16.844,,
104,07/21/2014 10:13:00 AM,22.805,67.716,16.545,,
105,07/21/2014 10:14:00 AM,22.781,67.114,16.382,,
106,07/21/2014 10:15:00 AM,22.757,67.916,16.546,,
107,07/21/2014 10:16:00 AM,22.757,68.629,16.711,,
108,07/21/2014 10:17:00 AM,22.805,67.716,16.545,,
109,07/21/2014 10:18:00 AM,22.805,66.191,16.187,,
110,07/21/2014 10:19:00 AM,22.757,67.409,16.428,,
111,07/21/2014 10:20:00 AM,22.781,68.099,16.611,,
112,07/21/2014 10:21:00 AM,22.757,69.134,16.826,,
113,07/21/2014 10:22:00 AM,22.757,68.659,16.718,,
114,07/21/2014 10:23:00 AM,22.781,67.264,16.417,,
115,07/21/2014 10:24:00 AM,22.781,68.069,16.605,,
116,07/21/2014 10:25:00 AM,22.757,68.867,16.765,,
117,07/21/2014 10:26:00 AM,22.805,67.298,16.448,,
118,07/21/2014 10:27:00 AM,22.757,67.707,16.498,,
119,07/21/2014 10:28:00 AM,22.733,68.506,16.660,,
120,07/21/2014 10:29:00 AM,22.757,68.570,16.697,,
121,07/21/2014 10:30:00 AM,22.781,66.995,16.354,,
122,07/21/2014 10:31:00 AM,22.757,67.647,16.484,,
123,07/21/2014 10:32:00 AM,22.757,68.421,16.663,,
124,07/21/2014 10:33:00 AM,22.757,68.778,16.745,,
125,07/21/2014 10:34:00 AM,22.757,66.452,16.204,,
126,07/21/2014 10:35:00 AM,22.781,66.756,16.298,,
127,07/21/2014 10:36:00 AM,22.757,67.647,16.484,,
128,07/21/2014 10:37:00 AM,22.757,68.481,16.677,,
129,07/21/2014 10:38:00 AM,22.781,68.574,16.721,,
130,07/21/2014 10:39:00 AM,22.781,66.816,16.312,,
131,07/21/2014 10:40:00 AM,22.781,66.905,16.333,,
132,07/21/2014 10:41:00 AM,22.781,67.830,16.549,,
133,07/21/2014 10:42:00 AM,22.781,68.723,16.755,,
134,07/21/2014 10:43:00 AM,22.757,67.916,16.546,,
135,07/21/2014 10:44:00 AM,22.781,68.515,16.708,,
136,07/21/2014 10:45:00 AM,22.781,68.515,16.708,,
137,07/21/2014 10:46:00 AM,22.805,66.251,16.202,,
138,07/21/2014 10:47:00 AM,22.757,66.752,16.274,,
139,07/21/2014 10:48:00 AM,22.781,67.174,16.396,,
140,07/21/2014 10:49:00 AM,22.805,67.865,16.580,,
141,07/21/2014 10:50:00 AM,22.805,68.816,16.800,,
142,07/21/2014 10:51:00 AM,22.829,66.944,16.388,,
143,07/21/2014 10:52:00 AM,22.829,66.914,16.381,,
144,07/21/2014 10:53:00 AM,22.805,67.716,16.545,,
145,07/21/2014 10:54:00 AM,22.805,68.698,16.772,,
146,07/21/2014 10:55:00 AM,22.781,69.701,16.978,,
147,07/21/2014 10:56:00 AM,22.757,68.451,16.670,,
148,07/21/2014 10:57:00 AM,22.757,65.011,15.860,,
149,07/21/2014 10:58:00 AM,22.781,66.187,16.164,,
150,07/21/2014 10:59:00 AM,22.757,67.439,16.435,,
151,07/21/2014 11:00:00 AM,22.757,68.362,16.649,,
152,07/21/2014 11:01:00 AM,22.781,68.545,16.714,,
153,07/21/2014 11:02:00 AM,22.757,69.490,16.907,,
154,07/21/2014 11:03:00 AM,22.733,66.268,16.137,,
155,07/21/2014 11:04:00 AM,22.757,65.372,15.947,,
156,07/21/2014 11:05:00 AM,22.757,66.512,16.218,,
157,07/21/2014 11:06:00 AM,22.757,67.349,16.414,,
158,07/21/2014 11:07:00 AM,22.733,68.536,16.667,,
159,07/21/2014 11:08:00 AM,22.781,68.455,16.694,,
160,07/21/2014 11:09:00 AM,22.733,69.456,16.877,,
161,07/21/2014 11:10:00 AM,22.757,65.883,16.069,,
162,07/21/2014 11:11:00 AM,22.781,65.557,16.014,,
163,07/21/2014 11:12:00 AM,22.781,66.905,16.333,,
164,07/21/2014 11:13:00 AM,22.733,68.030,16.550,,
165,07/21/2014 11:14:00 AM,22.733,69.159,16.809,,
166,07/21/2014 11:15:00 AM,22.709,69.895,16.953,,
167,07/21/2014 11:16:00 AM,22.685,66.709,16.196,,
168,07/21/2014 11:17:00 AM,22.685,66.500,16.146,,
169,07/21/2014 11:18:00 AM,22.685,67.247,16.322,,
170,07/21/2014 11:19:00 AM,22.733,67.911,16.522,,
171,07/21/2014 11:20:00 AM,22.733,68.922,16.755,,
172,07/21/2014 11:21:00 AM,22.757,66.991,16.330,,
173,07/21/2014 11:22:00 AM,22.757,67.528,16.456,,
174,07/21/2014 11:23:00 AM,22.757,68.302,16.636,,
175,07/21/2014 11:24:00 AM,22.757,69.045,16.806,,
176,07/21/2014 11:25:00 AM,22.757,68.035,16.574,,
177,07/21/2014 11:26:00 AM,22.757,67.021,16.337,,
178,07/21/2014 11:27:00 AM,22.733,67.643,16.460,,
179,07/21/2014 11:28:00 AM,22.733,68.685,16.701,,
180,07/21/2014 11:29:00 AM,22.781,66.935,16.340,,
181,07/21/2014 11:30:00 AM,22.781,66.007,16.121,,
182,07/21/2014 11:31:00 AM,22.805,67.059,16.392,,
183,07/21/2014 11:32:00 AM,22.781,68.218,16.639,,
184,07/21/2014 11:33:00 AM,22.757,69.371,16.881,,
185,07/21/2014 11:34:00 AM,22.781,68.218,16.639,,
186,07/21/2014 11:35:00 AM,22.781,65.617,16.028,,
187,07/21/2014 11:36:00 AM,22.757,66.841,16.295,,
188,07/21/2014 11:37:00 AM,22.805,67.865,16.580,,
189,07/21/2014 11:38:00 AM,22.805,67.745,16.552,,
190,07/21/2014 11:39:00 AM,22.781,68.455,16.694,,
191,07/21/2014 11:40:00 AM,22.805,67.686,16.539,,
192,07/21/2014 11:41:00 AM,22.829,67.660,16.555,,
193,07/21/2014 11:42:00 AM,22.781,68.960,16.810,,
194,07/21/2014 11:43:00 AM,22.805,68.252,16.670,,
195,07/21/2014 11:44:00 AM,22.781,68.396,16.680,,
196,07/21/2014 11:45:00 AM,22.781,68.515,16.708,,
197,07/21/2014 11:46:00 AM,22.781,66.427,16.220,,
198,07/21/2014 11:47:00 AM,22.757,67.110,16.358,,
199,07/21/2014 11:48:00 AM,22.757,68.005,16.567,,
200,07/21/2014 11:49:00 AM,22.757,68.956,16.786,,
201,07/21/2014 11:50:00 AM,22.709,68.472,16.629,,
202,07/21/2014 11:51:00 AM,22.733,68.239,16.598,,
203,07/21/2014 11:52:00 AM,22.757,68.332,16.643,,
204,07/21/2014 11:53:00 AM,22.757,67.647,16.484,,
205,07/21/2014 11:54:00 AM,22.733,68.655,16.694,,
206,07/21/2014 11:55:00 AM,22.733,68.477,16.653,,
207,07/21/2014 11:56:00 AM,22.709,67.191,16.332,,
208,07/21/2014 11:57:00 AM,22.733,67.673,16.467,,
209,07/21/2014 11:58:00 AM,22.733,68.655,16.694,,
210,07/21/2014 11:59:00 AM,22.757,68.867,16.765,,
211,07/21/2014 12:00:00 PM,22.757,65.372,15.947,,
212,07/21/2014 12:01:00 PM,22.757,65.853,16.061,,
213,07/21/2014 12:02:00 PM,22.757,66.991,16.330,,
214,07/21/2014 12:03:00 PM,22.733,68.298,16.612,,
215,07/21/2014 12:04:00 PM,22.757,69.164,16.833,,
216,07/21/2014 12:05:00 PM,22.805,66.670,16.301,,
217,07/21/2014 12:06:00 PM,22.781,65.827,16.078,,
218,07/21/2014 12:07:00 PM,22.805,66.999,16.378,,
219,07/21/2014 12:08:00 PM,22.805,68.013,16.615,,
220,07/21/2014 12:09:00 PM,22.781,69.020,16.823,,
221,07/21/2014 12:10:00 PM,22.829,67.063,16.416,,
222,07/21/2014 12:11:00 PM,22.805,67.447,16.483,,
223,07/21/2014 12:12:00 PM,22.781,68.515,16.708,,
224,07/21/2014 12:13:00 PM,22.757,69.549,16.921,,
225,07/21/2014 12:14:00 PM,22.781,67.025,16.361,,
226,07/21/2014 12:15:00 PM,22.757,66.572,16.232,,
227,07/21/2014 12:16:00 PM,22.829,67.392,16.493,,
228,07/21/2014 12:17:00 PM,22.853,68.230,16.711,,
229,07/21/2014 12:18:00 PM,22.829,69.325,16.939,,
230,07/21/2014 12:19:00 PM,22.805,68.608,16.752,,
231,07/21/2014 12:20:00 PM,22.757,66.781,16.281,,
232,07/21/2014 12:21:00 PM,22.781,67.711,16.522,,
233,07/21/2014 12:22:00 PM,22.781,68.188,16.632,,
234,07/21/2014 12:23:00 PM,22.781,69.049,16.830,,
235,07/21/2014 12:24:00 PM,22.781,66.756,16.298,,
236,07/21/2014 12:25:00 PM,22.781,66.097,16.142,,
237,07/21/2014 12:26:00 PM,22.781,67.234,16.410,,
238,07/21/2014 12:27:00 PM,22.781,68.128,16.618,,
239,07/21/2014 12:28:00 PM,22.805,68.846,16.806,,
240,07/21/2014 12:29:00 PM,22.805,68.043,16.622,,
241,07/21/2014 12:30:00 PM,22.781,68.901,16.796,,
242,07/21/2014 12:31:00 PM,22.781,68.782,16.769,,
243,07/21/2014 12:32:00 PM,22.757,65.823,16.054,,
244,07/21/2014 12:33:00 PM,22.781,66.187,16.164,,
245,07/21/2014 12:34:00 PM,22.781,67.234,16.410,,
246,07/21/2014 12:35:00 PM,22.757,68.332,16.643,,
247,07/21/2014 12:36:00 PM,22.757,69.430,16.894,,
248,07/21/2014 12:37:00 PM,22.733,68.863,16.742,,
249,07/21/2014 12:38:00 PM,22.733,65.609,15.980,,
250,07/21/2014 12:39:00 PM,22.757,66.243,16.154,,
251,07/21/2014 12:40:00 PM,22.757,67.379,16.421,,
252,07/21/2014 12:41:00 PM,22.781,68.307,16.660,,
253,07/21/2014 12:42:00 PM,22.757,69.075,16.813,,
254,07/21/2014 12:43:00 PM,22.757,68.035,16.574,,
255,07/21/2014 12:44:00 PM,22.757,67.856,16.532,,
256,07/21/2014 12:45:00 PM,22.781,66.277,16.185,,
257,07/21/2014 12:46:00 PM,22.805,67.238,16.434,,
258,07/21/2014 12:47:00 PM,22.757,68.302,16.636,,
259,07/21/2014 12:48:00 PM,22.757,69.045,16.806,,
260,07/21/2014 12:49:00 PM,22.757,68.064,16.581,,
261,07/21/2014 12:50:00 PM,22.781,66.127,16.149,,
262,07/21/2014 12:51:00 PM,22.781,67.204,16.403,,
263,07/21/2014 12:52:00 PM,22.757,68.124,16.594,,
264,07/21/2014 12:53:00 PM,22.757,69.015,16.799,,
265,07/21/2014 12:54:00 PM,22.805,66.790,16.329,,
266,07/21/2014 12:55:00 PM,22.805,66.700,16.308,,
267,07/21/2014 12:56:00 PM,22.781,67.741,16.529,,
268,07/21/2014 12:57:00 PM,22.781,68.337,16.666,,
269,07/21/2014 12:58:00 PM,22.781,69.079,16.837,,
270,07/21/2014 12:59:00 PM,22.781,67.144,16.389,,
271,07/21/2014 01:00:00 PM,22.781,67.294,16.424,,
272,07/21/2014 01:01:00 PM,22.757,67.945,16.553,,
273,07/21/2014 01:02:00 PM,22.781,68.782,16.769,,
274,07/21/2014 01:03:00 PM,22.781,68.128,16.618,,
275,07/21/2014 01:04:00 PM,22.805,66.939,16.364,,
276,07/21/2014 01:05:00 PM,22.781,68.128,16.618,,
277,07/21/2014 01:06:00 PM,22.805,68.371,16.697,,
278,07/21/2014 01:07:00 PM,22.853,66.169,16.228,,
279,07/21/2014 01:08:00 PM,22.805,67.358,16.462,,
280,07/21/2014 01:09:00 PM,22.781,68.069,16.605,,
281,07/21/2014 01:10:00 PM,22.781,68.871,16.789,,
282,07/21/2014 01:11:00 PM,22.829,66.375,16.254,,
283,07/21/2014 01:12:00 PM,22.805,66.221,16.195,,
284,07/21/2014 01:13:00 PM,22.805,67.596,16.518,,
285,07/21/2014 01:14:00 PM,22.829,68.226,16.687,,
286,07/21/2014 01:15:00 PM,22.781,69.464,16.925,,
287,07/21/2014 01:16:00 PM,22.781,68.485,16.701,,
288,07/21/2014 01:17:00 PM,22.781,66.007,16.121,,
289,07/21/2014 01:18:00 PM,22.757,66.752,16.274,,
290,07/21/2014 01:19:00 PM,22.781,67.652,16.508,,
291,07/21/2014 01:20:00 PM,22.805,68.638,16.759,,
292,07/21/2014 01:21:00 PM,22.805,67.417,16.476,,
293,07/21/2014 01:22:00 PM,22.829,68.018,16.639,,
294,07/21/2014 01:23:00 PM,22.805,68.460,16.718,,
295,07/21/2014 01:24:00 PM,22.805,66.551,16.272,,
296,07/21/2014 01:25:00 PM,22.829,67.272,16.465,,
297,07/21/2014 01:26:00 PM,22.805,68.013,16.615,,
298,07/21/2014 01:27:00 PM,22.805,68.876,16.813,,
299,07/21/2014 01:28:00 PM,22.781,67.830,16.549,,
300,07/21/2014 01:29:00 PM,22.805,66.910,16.357,,
301,07/21/2014 01:30:00 PM,22.781,67.592,16.494,,
302,07/21/2014 01:31:00 PM,22.781,68.009,16.591,,
303,07/21/2014 01:32:00 PM,22.781,68.812,16.776,,
304,07/21/2014 01:33:00 PM,22.757,67.916,16.546,,
305,07/21/2014 01:34:00 PM,22.805,66.640,16.294,,
306,07/21/2014 01:35:00 PM,22.781,67.443,16.459,,
307,07/21/2014 01:36:00 PM,22.805,68.281,16.677,,
308,07/21/2014 01:37:00 PM,22.829,68.286,16.700,,
309,07/21/2014 01:38:00 PM,22.829,66.854,16.367,,
310,07/21/2014 01:39:00 PM,22.829,67.541,16.528,,
311,07/21/2014 01:40:00 PM,22.805,68.371,16.697,,
312,07/21/2014 01:41:00 PM,22.829,68.048,16.645,,
313,07/21/2014 01:42:00 PM,22.853,66.109,16.214,,
314,07/21/2014 01:43:00 PM,22.829,66.884,16.374,,
315,07/21/2014 01:44:00 PM,22.829,67.720,16.569,,
316,07/21/2014 01:45:00 PM,22.805,68.549,16.738,,
317,07/21/2014 01:46:00 PM,22.805,68.816,16.800,,
318,07/21/2014 01:47:00 PM,22.805,66.910,16.357,,
319,07/21/2014 01:48:00 PM,22.781,67.323,16.431,,
320,07/21/2014 01:49:00 PM,22.757,68.451,16.670,,
321,07/21/2014 01:50:00 PM,22.733,69.515,16.890,,
322,07/21/2014 01:51:00 PM,22.781,66.606,16.263,,
323,07/21/2014 01:52:00 PM,22.757,65.823,16.054,,
324,07/21/2014 01:53:00 PM,22.733,66.628,16.222,,
325,07/21/2014 01:54:00 PM,22.781,67.353,16.438,,
326,07/21/2014 01:55:00 PM,22.757,68.837,16.759,,
327,07/21/2014 01:56:00 PM,22.757,69.282,16.860,,
