"Plot Title: HOBO 7A Chamber 6A"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10561438, SEN S/N: 10561438)","RH, % (LGR S/N: 10561438, SEN S/N: 10561438)","DewPt, °C (LGR S/N: 10561438, SEN S/N: 10561438)","Host Connected (LGR S/N: 10561438, SEN S/N: 10561438)","End Of File (LGR S/N: 10561438, SEN S/N: 10561438)"
1,07/21/2014 08:30:00 AM,22.493,65.057,15.621,,
2,07/21/2014 08:31:00 AM,22.661,64.604,15.670,,
3,07/21/2014 08:32:00 AM,22.925,63.531,15.658,,
4,07/21/2014 08:33:00 AM,23.141,62.079,15.501,,
5,07/21/2014 08:34:00 AM,23.357,60.863,15.396,,
6,07/21/2014 08:35:00 AM,23.501,59.721,15.236,,
7,07/21/2014 08:36:00 AM,23.621,58.878,15.128,,
8,07/21/2014 08:37:00 AM,23.693,58.210,15.018,,
9,07/21/2014 08:38:00 AM,23.742,58.187,15.057,,
10,07/21/2014 08:39:00 AM,23.766,58.005,15.030,,
11,07/21/2014 08:40:00 AM,23.766,57.634,14.930,,
12,07/21/2014 08:41:00 AM,23.766,57.696,14.947,,
13,07/21/2014 08:42:00 AM,23.742,57.599,14.899,,
14,07/21/2014 08:43:00 AM,23.766,57.943,15.014,,
15,07/21/2014 08:44:00 AM,23.766,57.510,14.897,,
16,07/21/2014 08:45:00 AM,23.742,57.661,14.915,,
17,07/21/2014 08:46:00 AM,23.717,57.626,14.883,,
18,07/21/2014 08:47:00 AM,23.717,57.657,14.892,,
19,07/21/2014 08:48:00 AM,23.693,57.406,14.801,,
20,07/21/2014 08:49:00 AM,23.693,57.189,14.743,,
21,07/21/2014 08:50:00 AM,23.693,57.189,14.743,,
22,07/21/2014 08:51:00 AM,23.669,57.185,14.719,,
23,07/21/2014 08:52:00 AM,23.669,57.216,14.728,,
24,07/21/2014 08:53:00 AM,23.669,57.154,14.711,,
25,07/21/2014 08:54:00 AM,23.669,57.402,14.778,,
26,07/21/2014 08:55:00 AM,23.645,57.461,14.771,,
27,07/21/2014 08:56:00 AM,23.645,57.399,14.755,,
28,07/21/2014 08:57:00 AM,23.645,57.430,14.763,,
29,07/21/2014 08:58:00 AM,23.645,57.461,14.771,,
30,07/21/2014 08:59:00 AM,23.621,57.519,14.765,,
31,07/21/2014 09:00:00 AM,23.645,57.863,14.880,,
32,07/21/2014 09:01:00 AM,23.645,57.739,14.846,,
33,07/21/2014 09:02:00 AM,23.645,57.708,14.838,,
34,07/21/2014 09:03:00 AM,23.645,57.461,14.771,,
35,07/21/2014 09:04:00 AM,23.645,57.461,14.771,,
36,07/21/2014 09:05:00 AM,23.645,57.584,14.805,,
37,07/21/2014 09:06:00 AM,23.645,57.832,14.871,,
38,07/21/2014 09:07:00 AM,23.645,57.708,14.838,,
39,07/21/2014 09:08:00 AM,23.645,57.770,14.855,,
40,07/21/2014 09:09:00 AM,23.645,57.554,14.796,,
41,07/21/2014 09:10:00 AM,23.645,57.956,14.905,,
42,07/21/2014 09:11:00 AM,23.645,58.018,14.921,,
43,07/21/2014 09:12:00 AM,23.645,57.832,14.871,,
44,07/21/2014 09:13:00 AM,23.645,57.956,14.905,,
45,07/21/2014 09:14:00 AM,23.669,57.898,14.911,,
46,07/21/2014 09:15:00 AM,23.669,58.052,14.953,,
47,07/21/2014 09:16:00 AM,23.669,58.238,15.003,,
48,07/21/2014 09:17:00 AM,23.669,58.052,14.953,,
49,07/21/2014 09:18:00 AM,23.669,57.990,14.936,,
50,07/21/2014 09:19:00 AM,23.669,58.361,15.035,,
51,07/21/2014 09:20:00 AM,23.669,58.485,15.068,,
52,07/21/2014 09:21:00 AM,23.669,58.145,14.978,,
53,07/21/2014 09:22:00 AM,23.693,58.673,15.141,,
54,07/21/2014 09:23:00 AM,23.693,58.766,15.166,,
55,07/21/2014 09:24:00 AM,23.669,58.731,15.134,,
56,07/21/2014 09:25:00 AM,23.669,58.639,15.109,,
57,07/21/2014 09:26:00 AM,23.669,58.639,15.109,,
58,07/21/2014 09:27:00 AM,23.669,58.916,15.183,,
59,07/21/2014 09:28:00 AM,23.669,58.947,15.191,,
60,07/21/2014 09:29:00 AM,23.669,58.670,15.118,,
61,07/21/2014 09:30:00 AM,23.669,58.762,15.142,,
62,07/21/2014 09:31:00 AM,23.669,58.824,15.158,,
63,07/21/2014 09:32:00 AM,23.669,59.040,15.215,,
64,07/21/2014 09:33:00 AM,23.669,58.978,15.199,,
65,07/21/2014 09:34:00 AM,23.669,59.224,15.264,,
66,07/21/2014 09:35:00 AM,23.669,58.824,15.158,,
67,07/21/2014 09:36:00 AM,23.669,58.855,15.167,,
68,07/21/2014 09:37:00 AM,23.693,58.828,15.182,,
69,07/21/2014 09:38:00 AM,23.693,58.828,15.182,,
70,07/21/2014 09:39:00 AM,23.669,58.886,15.175,,
71,07/21/2014 09:40:00 AM,23.669,58.916,15.183,,
72,07/21/2014 09:41:00 AM,23.669,59.101,15.232,,
73,07/21/2014 09:42:00 AM,23.669,58.670,15.118,,
74,07/21/2014 09:43:00 AM,23.669,58.824,15.158,,
75,07/21/2014 09:44:00 AM,23.669,58.947,15.191,,
76,07/21/2014 09:45:00 AM,23.669,58.916,15.183,,
77,07/21/2014 09:46:00 AM,23.669,58.701,15.126,,
78,07/21/2014 09:47:00 AM,23.669,58.855,15.167,,
79,07/21/2014 09:48:00 AM,23.669,59.132,15.240,,
80,07/21/2014 09:49:00 AM,23.669,59.070,15.224,,
