"Plot Title: HOBO 9A Room 11"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10561441, SEN S/N: 10561441)","RH, % (LGR S/N: 10561441, SEN S/N: 10561441)","DewPt, °C (LGR S/N: 10561441, SEN S/N: 10561441)","Host Connected (LGR S/N: 10561441, SEN S/N: 10561441)","End Of File (LGR S/N: 10561441, SEN S/N: 10561441)"
1,07/21/2014 08:30:00 AM,22.973,77.787,18.911,,
2,07/21/2014 08:31:00 AM,23.045,75.638,18.532,,
3,07/21/2014 08:32:00 AM,22.853,71.249,17.395,,
4,07/21/2014 08:33:00 AM,22.541,67.281,16.193,,
5,07/21/2014 08:34:00 AM,22.278,64.207,15.211,,
6,07/21/2014 08:35:00 AM,21.991,61.557,14.286,,
7,07/21/2014 08:36:00 AM,21.728,60.023,13.649,,
8,07/21/2014 08:37:00 AM,21.537,60.663,13.632,,
9,07/21/2014 08:38:00 AM,21.561,64.687,14.647,,
10,07/21/2014 08:39:00 AM,21.632,68.159,15.529,,
11,07/21/2014 08:40:00 AM,21.776,70.842,16.271,,
12,07/21/2014 08:41:00 AM,21.919,73.121,16.908,,
13,07/21/2014 08:42:00 AM,22.039,74.772,17.376,,
14,07/21/2014 08:43:00 AM,22.182,75.957,17.764,,
15,07/21/2014 08:44:00 AM,22.326,76.879,18.095,,
16,07/21/2014 08:45:00 AM,22.469,76.994,18.259,,
17,07/21/2014 08:46:00 AM,22.589,77.622,18.505,,
18,07/21/2014 08:47:00 AM,22.733,77.594,18.638,,
19,07/21/2014 08:48:00 AM,22.877,77.193,18.695,,
20,07/21/2014 08:49:00 AM,22.997,77.044,18.780,,
21,07/21/2014 08:50:00 AM,23.045,74.215,18.228,,
22,07/21/2014 08:51:00 AM,22.805,69.706,17.002,,
23,07/21/2014 08:52:00 AM,22.517,66.440,15.973,,
24,07/21/2014 08:53:00 AM,22.206,63.260,14.912,,
25,07/21/2014 08:54:00 AM,21.943,61.307,14.177,,
26,07/21/2014 08:55:00 AM,21.680,59.955,13.586,,
27,07/21/2014 08:56:00 AM,21.537,61.423,13.824,,
28,07/21/2014 08:57:00 AM,21.584,65.350,14.828,,
29,07/21/2014 08:58:00 AM,21.680,68.583,15.671,,
30,07/21/2014 08:59:00 AM,21.799,71.316,16.399,,
31,07/21/2014 09:00:00 AM,21.967,73.276,16.987,,
32,07/21/2014 09:01:00 AM,22.110,74.844,17.461,,
33,07/21/2014 09:02:00 AM,22.254,76.087,17.861,,
34,07/21/2014 09:03:00 AM,22.397,76.980,18.186,,
35,07/21/2014 09:04:00 AM,22.517,77.636,18.438,,
36,07/21/2014 09:05:00 AM,22.661,78.039,18.660,,
37,07/21/2014 09:06:00 AM,22.805,77.982,18.788,,
38,07/21/2014 09:07:00 AM,22.949,77.610,18.851,,
39,07/21/2014 09:08:00 AM,23.069,76.944,18.829,,
