"Plot Title: Chamber 2"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10561443, SEN S/N: 10561443)","RH, % (LGR S/N: 10561443, SEN S/N: 10561443)","DewPt, °C (LGR S/N: 10561443, SEN S/N: 10561443)","Chan 1 Alarm Tripped (LGR S/N: 10561443, SEN S/N: 10561443)","Chan 1 Alarm Cleared (LGR S/N: 10561443, SEN S/N: 10561443)","Chan 2 Alarm Cleared (LGR S/N: 10561443, SEN S/N: 10561443)","Chan 2 Alarm Tripped (LGR S/N: 10561443, SEN S/N: 10561443)","Host Connected (LGR S/N: 10561443, SEN S/N: 10561443)","Stopped (LGR S/N: 10561443, SEN S/N: 10561443)","End Of File (LGR S/N: 10561443, SEN S/N: 10561443)"
1,09/28/14 12:10:00 PM,22.302,60.877,14.407,,,,,,,
2,09/28/14 12:15:00 PM,22.302,61.091,14.461,,,,,,,
3,09/28/14 12:20:00 PM,22.326,61.216,14.515,,,,,,,
4,09/28/14 12:25:00 PM,22.326,60.820,14.415,,,,,,,
5,09/28/14 12:30:00 PM,22.326,61.033,14.469,,,,,,,
6,09/28/14 12:35:00 PM,22.302,61.212,14.492,,,,,,,
7,09/28/14 12:40:00 PM,22.302,60.908,14.414,,,,,,,
8,09/28/14 12:45:00 PM,22.350,60.824,14.438,,,,,,,
9,09/28/14 12:50:00 PM,22.373,60.553,14.392,,,,,,,
10,09/28/14 12:55:00 PM,22.326,60.790,14.407,,,,,,,
11,09/28/14 01:00:00 PM,22.350,61.007,14.485,,,,,,,
12,09/28/14 01:05:00 PM,22.421,60.652,14.462,,,,,,,
13,09/28/14 01:10:00 PM,22.350,60.610,14.384,,,,,,,
14,09/28/14 01:15:00 PM,22.326,61.064,14.477,,,,,,,
15,09/28/14 01:20:00 PM,22.326,60.881,14.430,,,,,,,
16,09/28/14 01:25:00 PM,22.302,60.969,14.430,,,,,,,
17,09/28/14 01:30:00 PM,22.302,60.847,14.399,,,,,,,
18,09/28/14 01:35:00 PM,22.302,60.786,14.383,,,,,,,
19,09/28/14 01:40:00 PM,22.302,61.212,14.492,,,,,,,
20,09/28/14 01:45:00 PM,22.278,61.117,14.445,,,,,,,
21,09/28/14 01:50:00 PM,22.302,61.273,14.507,,,,,,,
22,09/28/14 01:55:00 PM,22.350,60.854,14.446,,,,,,,
23,09/28/14 02:00:00 PM,22.350,61.068,14.500,,,,,,,
24,09/28/14 02:05:00 PM,22.350,61.190,14.531,,,,,,,
25,09/28/14 02:10:00 PM,22.350,61.037,14.492,,,,,,,
26,09/28/14 02:15:00 PM,22.350,61.220,14.539,,,,,,,
27,09/28/14 02:20:00 PM,22.373,60.828,14.462,,,,,,,
28,09/28/14 02:25:00 PM,22.397,61.045,14.539,,,,,,,
29,09/28/14 02:30:00 PM,22.373,60.736,14.438,,,,,,,
30,09/28/14 02:35:00 PM,22.350,60.946,14.469,,,,,,,
31,09/28/14 02:40:00 PM,22.373,60.950,14.493,,,,,,,
32,09/28/14 02:45:00 PM,22.350,60.885,14.454,,,,,,,
33,09/28/14 02:50:00 PM,22.350,61.251,14.546,,,,,,,
34,09/28/14 02:55:00 PM,22.350,60.915,14.461,,,,,,,
35,09/28/14 03:00:00 PM,22.350,60.976,14.477,,,,,,,
36,09/28/14 03:05:00 PM,22.373,60.797,14.454,,,,,,,
37,09/28/14 03:10:00 PM,22.350,61.068,14.500,,,,,,,
38,09/28/14 03:15:00 PM,22.278,61.239,14.476,,,,,,,
39,09/28/14 03:20:00 PM,22.302,61.182,14.484,,,,,,,
40,09/28/14 03:25:00 PM,22.350,61.007,14.485,,,,,,,
41,09/28/14 03:30:00 PM,22.373,60.675,14.423,,,,,,,
42,09/28/14 03:35:00 PM,22.350,61.220,14.539,,,,,,,
43,09/28/14 03:40:00 PM,22.350,60.671,14.399,,,,,,,
44,09/28/14 03:45:00 PM,22.397,60.832,14.485,,,,,,,
45,09/28/14 03:50:00 PM,22.350,60.824,14.438,,,,,,,
46,09/28/14 03:55:00 PM,22.326,61.125,14.492,,,,,,,
47,09/28/14 04:00:00 PM,22.326,60.698,14.383,,,,,,,
48,09/28/14 04:05:00 PM,22.326,60.973,14.453,,,,,,,
49,09/28/14 04:10:00 PM,22.350,60.610,14.384,,,,,,,
50,09/28/14 04:15:00 PM,22.373,61.011,14.508,,,,,,,
51,09/28/14 04:20:00 PM,22.373,60.858,14.469,,,,,,,
52,09/28/14 04:25:00 PM,22.397,61.045,14.539,,,,,,,
53,09/28/14 04:30:00 PM,22.373,61.285,14.578,,,,,,,
54,09/28/14 04:35:00 PM,21.465,66.047,14.879,,,,,,,
55,09/28/14 04:40:00 PM,21.298,69.635,15.544,,,,,,,
56,09/28/14 04:45:00 PM,21.561,70.831,16.062,,,,,,,
57,09/28/14 04:50:00 PM,21.823,70.410,16.221,,,,,,,
58,09/28/14 04:55:00 PM,21.919,68.122,15.794,,,,,,,
59,09/28/14 05:00:00 PM,21.847,66.920,15.447,,,,,,,
60,09/28/14 05:05:00 PM,21.799,66.255,15.246,,,,,,,
61,09/28/14 05:10:00 PM,21.704,65.700,15.024,,,,,,,
62,09/28/14 05:15:00 PM,21.584,65.560,14.878,,,,,,,
