"Plot Title: Chamber 3"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10561439, SEN S/N: 10561439)","RH, % (LGR S/N: 10561439, SEN S/N: 10561439)","DewPt, °C (LGR S/N: 10561439, SEN S/N: 10561439)","Chan 2 Alarm Cleared (LGR S/N: 10561439, SEN S/N: 10561439)","Chan 2 Alarm Tripped (LGR S/N: 10561439, SEN S/N: 10561439)","Chan 1 Alarm Tripped (LGR S/N: 10561439, SEN S/N: 10561439)","Chan 1 Alarm Cleared (LGR S/N: 10561439, SEN S/N: 10561439)","Host Connected (LGR S/N: 10561439, SEN S/N: 10561439)","Stopped (LGR S/N: 10561439, SEN S/N: 10561439)","End Of File (LGR S/N: 10561439, SEN S/N: 10561439)"
1,09/28/14 12:10:00 PM,21.513,62.419,14.049,,,,,,,
2,09/28/14 12:15:00 PM,21.537,62.060,13.983,,,,,,,
3,09/28/14 12:20:00 PM,21.584,63.337,14.343,,,,,,,
4,09/28/14 12:25:00 PM,21.561,61.852,13.954,,,,,,,
5,09/28/14 12:30:00 PM,21.584,62.159,14.052,,,,,,,
6,09/28/14 12:35:00 PM,21.608,61.920,14.016,,,,,,,
7,09/28/14 12:40:00 PM,21.561,62.699,14.164,,,,,,,
8,09/28/14 12:45:00 PM,21.632,62.469,14.175,,,,,,,
9,09/28/14 12:50:00 PM,21.632,62.318,14.137,,,,,,,
10,09/28/14 12:55:00 PM,21.608,61.920,14.016,,,,,,,
11,09/28/14 01:00:00 PM,21.584,62.189,14.060,,,,,,,
12,09/28/14 01:05:00 PM,21.584,62.612,14.165,,,,,,,
13,09/28/14 01:10:00 PM,21.584,62.310,14.090,,,,,,,
14,09/28/14 01:15:00 PM,21.561,61.882,13.961,,,,,,,
15,09/28/14 01:20:00 PM,21.537,62.725,14.148,,,,,,,
16,09/28/14 01:25:00 PM,21.537,63.027,14.222,,,,,,,
17,09/28/14 01:30:00 PM,21.561,62.336,14.074,,,,,,,
18,09/28/14 01:35:00 PM,21.561,61.791,13.938,,,,,,,
19,09/28/14 01:40:00 PM,21.561,61.852,13.954,,,,,,,
20,09/28/14 01:45:00 PM,21.513,62.449,14.057,,,,,,,
21,09/28/14 01:50:00 PM,21.513,62.570,14.087,,,,,,,
22,09/28/14 01:55:00 PM,21.513,61.874,13.914,,,,,,,
23,09/28/14 02:00:00 PM,21.513,62.086,13.967,,,,,,,
24,09/28/14 02:05:00 PM,21.537,61.939,13.953,,,,,,,
25,09/28/14 02:10:00 PM,21.561,62.306,14.066,,,,,,,
26,09/28/14 02:15:00 PM,21.537,62.604,14.118,,,,,,,
27,09/28/14 02:20:00 PM,21.513,62.389,14.042,,,,,,,
28,09/28/14 02:25:00 PM,21.537,62.241,14.028,,,,,,,
29,09/28/14 02:30:00 PM,21.537,62.211,14.020,,,,,,,
30,09/28/14 02:35:00 PM,21.537,62.332,14.050,,,,,,,
31,09/28/14 02:40:00 PM,21.561,61.609,13.893,,,,,,,
32,09/28/14 02:45:00 PM,21.561,61.882,13.961,,,,,,,
33,09/28/14 02:50:00 PM,21.513,62.268,14.012,,,,,,,
34,09/28/14 02:55:00 PM,21.561,62.306,14.066,,,,,,,
