"Plot Title: Chamber 5a"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10561437, SEN S/N: 10561437)","RH, % (LGR S/N: 10561437, SEN S/N: 10561437)","DewPt, °C (LGR S/N: 10561437, SEN S/N: 10561437)","Chan 1 Alarm Cleared (LGR S/N: 10561437, SEN S/N: 10561437)","Chan 2 Alarm Cleared (LGR S/N: 10561437, SEN S/N: 10561437)","Chan 1 Alarm Tripped (LGR S/N: 10561437, SEN S/N: 10561437)","Chan 2 Alarm Tripped (LGR S/N: 10561437, SEN S/N: 10561437)","Host Connected (LGR S/N: 10561437, SEN S/N: 10561437)","Stopped (LGR S/N: 10561437, SEN S/N: 10561437)","End Of File (LGR S/N: 10561437, SEN S/N: 10561437)"
1,09/30/14 07:00:00 PM,22.254,59.862,14.101,,,,,,,
2,09/30/14 07:05:00 PM,22.254,59.893,14.109,,,,,,,
3,09/30/14 07:10:00 PM,22.254,60.198,14.188,,,,,,,
4,09/30/14 07:15:00 PM,22.254,60.443,14.251,,,,,,,
5,09/30/14 07:20:00 PM,22.278,62.636,14.826,,,,,,,
6,09/30/14 07:25:00 PM,22.230,61.566,14.513,,,,,,,
7,09/30/14 07:30:00 PM,22.254,60.809,14.344,,,,,,,
8,09/30/14 07:35:00 PM,22.230,59.950,14.102,,,,,,,
9,09/30/14 07:40:00 PM,22.254,59.831,14.094,,,,,,,
10,09/30/14 07:45:00 PM,22.254,60.198,14.188,,,,,,,
11,09/30/14 07:50:00 PM,22.254,62.450,14.757,,,,,,,
12,09/30/14 07:55:00 PM,22.254,61.022,14.398,,,,,,,
13,09/30/14 08:00:00 PM,22.230,60.286,14.188,,,,,,,
14,09/30/14 08:05:00 PM,22.230,60.011,14.117,,,,,,,
15,09/30/14 08:10:00 PM,22.278,60.355,14.251,,,,,,,
16,09/30/14 08:15:00 PM,22.278,61.908,14.644,,,,,,,
17,09/30/14 08:20:00 PM,22.254,61.934,14.628,,,,,,,
18,09/30/14 08:25:00 PM,22.254,60.809,14.344,,,,,,,
19,09/30/14 08:30:00 PM,22.254,60.107,14.164,,,,,,,
20,09/30/14 08:35:00 PM,22.254,59.923,14.117,,,,,,,
21,09/30/14 08:40:00 PM,22.230,60.103,14.141,,,,,,,
22,09/30/14 08:45:00 PM,22.278,61.847,14.629,,,,,,,
23,09/30/14 08:50:00 PM,22.254,62.572,14.787,,,,,,,
24,09/30/14 08:55:00 PM,22.230,61.900,14.597,,,,,,,
25,09/30/14 09:00:00 PM,22.206,61.075,14.367,,,,,,,
26,09/30/14 09:05:00 PM,22.206,60.679,14.266,,,,,,,
27,09/30/14 09:10:00 PM,22.230,60.194,14.165,,,,,,,
28,09/30/14 09:15:00 PM,22.230,59.858,14.078,,,,,,,
29,09/30/14 09:20:00 PM,22.230,59.919,14.094,,,,,,,
30,09/30/14 09:25:00 PM,22.254,60.778,14.336,,,,,,,
31,09/30/14 09:30:00 PM,22.230,62.537,14.756,,,,,,,
32,09/30/14 09:35:00 PM,22.230,61.718,14.551,,,,,,,
33,09/30/14 09:40:00 PM,22.230,60.500,14.243,,,,,,,
34,09/30/14 09:45:00 PM,22.254,59.923,14.117,,,,,,,
35,09/30/14 09:50:00 PM,22.254,59.893,14.109,,,,,,,
36,09/30/14 09:55:00 PM,22.254,60.137,14.172,,,,,,,
37,09/30/14 10:00:00 PM,22.254,61.296,14.468,,,,,,,
38,09/30/14 10:05:00 PM,22.254,62.390,14.742,,,,,,,
39,09/30/14 10:10:00 PM,22.230,61.018,14.375,,,,,,,
40,09/30/14 10:15:00 PM,22.230,60.317,14.196,,,,,,,
41,09/30/14 10:20:00 PM,22.230,59.919,14.094,,,,,,,
42,09/30/14 10:25:00 PM,22.254,59.954,14.125,,,,,,,
43,09/30/14 10:30:00 PM,22.254,60.443,14.251,,,,,,,
44,09/30/14 10:35:00 PM,22.254,62.784,14.840,,,,,,,
45,09/30/14 10:40:00 PM,22.230,61.688,14.544,,,,,,,
46,09/30/14 10:45:00 PM,22.230,61.049,14.382,,,,,,,
47,09/30/14 10:50:00 PM,22.230,60.561,14.258,,,,,,,
48,09/30/14 10:55:00 PM,22.230,60.072,14.133,,,,,,,
49,09/30/14 11:00:00 PM,22.278,59.957,14.149,,,,,,,
50,09/30/14 11:05:00 PM,22.254,60.412,14.243,,,,,,,
51,09/30/14 11:10:00 PM,22.254,60.991,14.391,,,,,,,
52,09/30/14 11:15:00 PM,22.254,62.481,14.764,,,,,,,
53,09/30/14 11:20:00 PM,22.230,61.688,14.544,,,,,,,
54,09/30/14 11:25:00 PM,22.230,60.683,14.289,,,,,,,
55,09/30/14 11:30:00 PM,22.230,60.469,14.235,,,,,,,
56,09/30/14 11:35:00 PM,22.230,59.950,14.102,,,,,,,
57,09/30/14 11:40:00 PM,22.254,59.709,14.062,,,,,,,
58,09/30/14 11:45:00 PM,22.254,59.984,14.133,,,,,,,
59,09/30/14 11:50:00 PM,22.254,60.748,14.329,,,,,,,
60,09/30/14 11:55:00 PM,22.254,62.117,14.674,,,,,,,
61,10/01/14 12:00:00 AM,22.254,60.991,14.391,,,,,,,
62,10/01/14 12:05:00 AM,22.230,60.439,14.227,,,,,,,
63,10/01/14 12:10:00 AM,22.230,60.072,14.133,,,,,,,
64,10/01/14 12:15:00 AM,22.230,59.889,14.086,,,,,,,
65,10/01/14 12:20:00 AM,22.254,59.984,14.133,,,,,,,
66,10/01/14 12:25:00 AM,22.254,60.504,14.266,,,,,,,
67,10/01/14 12:30:00 AM,22.254,62.905,14.870,,,,,,,
68,10/01/14 12:35:00 AM,22.254,61.874,14.613,,,,,,,
69,10/01/14 12:40:00 AM,22.278,60.782,14.360,,,,,,,
70,10/01/14 12:45:00 AM,22.278,60.080,14.180,,,,,,,
71,10/01/14 12:50:00 AM,22.254,60.351,14.227,,,,,,,
72,10/01/14 12:55:00 AM,22.230,61.900,14.597,,,,,,,
73,10/01/14 01:00:00 AM,22.230,61.900,14.597,,,,,,,
74,10/01/14 01:05:00 AM,22.206,60.526,14.227,,,,,,,
75,10/01/14 01:10:00 AM,22.206,60.130,14.125,,,,,,,
76,10/01/14 01:15:00 AM,22.230,60.072,14.133,,,,,,,
77,10/01/14 01:20:00 AM,22.230,59.858,14.078,,,,,,,
78,10/01/14 01:25:00 AM,22.254,60.045,14.149,,,,,,,
79,10/01/14 01:30:00 AM,22.254,62.147,14.681,,,,,,,
80,10/01/14 01:35:00 AM,22.230,62.689,14.794,,,,,,,
81,10/01/14 01:40:00 AM,22.206,61.532,14.482,,,,,,,
82,10/01/14 01:45:00 AM,22.206,60.374,14.188,,,,,,,
83,10/01/14 01:50:00 AM,22.230,59.858,14.078,,,,,,,
84,10/01/14 01:55:00 AM,22.254,60.198,14.188,,,,,,,
85,10/01/14 02:00:00 AM,22.278,61.908,14.644,,,,,,,
86,10/01/14 02:05:00 AM,22.254,62.450,14.757,,,,,,,
87,10/01/14 02:10:00 AM,22.254,61.661,14.560,,,,,,,
88,10/01/14 02:15:00 AM,22.230,60.957,14.359,,,,,,,
89,10/01/14 02:20:00 AM,22.206,60.709,14.274,,,,,,,
90,10/01/14 02:25:00 AM,22.206,60.343,14.180,,,,,,,
91,10/01/14 02:30:00 AM,22.254,60.198,14.188,,,,,,,
92,10/01/14 02:35:00 AM,22.254,60.015,14.141,,,,,,,
93,10/01/14 02:40:00 AM,22.254,61.448,14.506,,,,,,,
94,10/01/14 02:45:00 AM,22.254,62.238,14.704,,,,,,,
95,10/01/14 02:50:00 AM,22.230,61.018,14.375,,,,,,,
