"Plot Title: Chamber 6A"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10561442, SEN S/N: 10561442)","RH, % (LGR S/N: 10561442, SEN S/N: 10561442)","DewPt, °C (LGR S/N: 10561442, SEN S/N: 10561442)","End Of File (LGR S/N: 10561442, SEN S/N: 10561442)"
1,08/19/14 05:00:00 PM,22.062,59.036,13.708,
2,08/19/14 05:05:00 PM,22.110,58.829,13.698,
3,08/19/14 05:10:00 PM,22.062,58.637,13.603,
4,08/19/14 05:15:00 PM,21.943,58.496,13.454,
5,08/19/14 05:20:00 PM,21.776,58.593,13.323,
6,08/19/14 05:25:00 PM,21.632,58.938,13.279,
7,08/19/14 05:30:00 PM,21.680,59.160,13.381,
8,08/19/14 05:35:00 PM,21.895,58.979,13.536,
9,08/19/14 05:40:00 PM,22.086,58.518,13.594,
10,08/19/14 05:45:00 PM,22.158,58.283,13.600,
11,08/19/14 05:50:00 PM,22.086,58.733,13.651,
12,08/19/14 05:55:00 PM,21.991,59.086,13.653,
13,08/19/14 06:00:00 PM,21.943,59.201,13.638,
14,08/19/14 06:05:00 PM,21.919,59.595,13.718,
15,08/19/14 06:10:00 PM,21.943,60.027,13.852,
16,08/19/14 06:15:00 PM,21.943,60.423,13.953,
17,08/19/14 06:20:00 PM,21.943,60.728,14.031,
18,08/19/14 06:25:00 PM,21.943,61.124,14.131,
19,08/19/14 06:30:00 PM,21.943,61.246,14.162,
20,08/19/14 06:35:00 PM,21.943,61.550,14.239,
21,08/19/14 06:40:00 PM,21.919,61.424,14.184,
22,08/19/14 06:45:00 PM,21.919,61.546,14.215,
23,08/19/14 06:50:00 PM,21.919,61.394,14.177,
24,08/19/14 06:55:00 PM,21.919,61.485,14.200,
25,08/19/14 07:00:00 PM,21.919,61.333,14.161,
26,08/19/14 07:05:00 PM,21.919,61.576,14.223,
27,08/19/14 07:10:00 PM,21.919,61.394,14.177,
28,08/19/14 07:15:00 PM,21.895,61.238,14.115,
29,08/19/14 07:20:00 PM,21.919,61.424,14.184,
30,08/19/14 07:25:00 PM,21.895,61.268,14.123,
31,08/19/14 07:30:00 PM,21.895,61.451,14.169,
32,08/19/14 07:35:00 PM,21.895,61.299,14.130,
33,08/19/14 07:40:00 PM,21.895,61.451,14.169,
34,08/19/14 07:45:00 PM,21.895,61.299,14.130,
35,08/19/14 07:50:00 PM,21.919,61.455,14.192,
36,08/19/14 07:55:00 PM,21.919,61.546,14.215,
37,08/19/14 08:00:00 PM,21.895,61.481,14.176,
38,08/19/14 08:05:00 PM,21.895,61.512,14.184,
39,08/19/14 08:10:00 PM,21.895,61.512,14.184,
40,08/19/14 08:15:00 PM,21.895,61.603,14.207,
41,08/19/14 08:20:00 PM,21.895,61.572,14.199,
42,08/19/14 08:25:00 PM,21.895,61.542,14.191,
43,08/19/14 08:30:00 PM,21.895,61.481,14.176,
44,08/19/14 08:35:00 PM,21.919,61.242,14.138,
45,08/19/14 08:40:00 PM,21.895,61.512,14.184,
46,08/19/14 08:45:00 PM,21.919,61.485,14.200,
47,08/19/14 08:50:00 PM,21.895,61.481,14.176,
48,08/19/14 08:55:00 PM,21.895,61.663,14.222,
