"Plot Title: Room 11"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10561436, SEN S/N: 10561436)","RH, % (LGR S/N: 10561436, SEN S/N: 10561436)","DewPt, °C (LGR S/N: 10561436, SEN S/N: 10561436)","End Of File (LGR S/N: 10561436, SEN S/N: 10561436)"
1,09/21/14 10:50:00 AM,24.223,70.204,18.474,
2,09/21/14 10:55:00 AM,23.309,62.441,15.751,
3,09/21/14 11:00:00 AM,24.055,75.491,19.477,
4,09/21/14 11:05:00 AM,24.006,65.467,17.156,
5,09/21/14 11:10:00 AM,23.189,60.836,15.231,
6,09/21/14 11:15:00 AM,24.079,72.717,18.898,
7,09/21/14 11:20:00 AM,23.814,64.860,16.826,
8,09/21/14 11:25:00 AM,23.549,69.546,17.678,
9,09/21/14 11:30:00 AM,24.392,77.502,20.229,
10,09/21/14 11:35:00 AM,23.693,60.580,15.640,
11,09/21/14 11:40:00 AM,23.501,66.132,16.836,
12,09/21/14 11:45:00 AM,24.368,75.932,19.874,
13,09/21/14 11:50:00 AM,23.621,63.344,16.271,
14,09/21/14 11:55:00 AM,23.742,71.976,18.410,
15,09/21/14 12:00:00 PM,24.417,73.487,19.393,
16,09/21/14 12:05:00 PM,23.501,58.490,14.912,
17,09/21/14 12:10:00 PM,23.621,68.428,17.490,
18,09/21/14 12:15:00 PM,24.272,69.023,18.249,
19,09/21/14 12:20:00 PM,23.357,60.097,15.199,
20,09/21/14 12:25:00 PM,24.031,74.320,19.202,
21,09/21/14 12:30:00 PM,24.055,65.656,17.248,
22,09/21/14 12:35:00 PM,23.261,59.837,15.041,
23,09/21/14 12:40:00 PM,24.031,74.174,19.170,
24,09/21/14 12:45:00 PM,24.055,64.841,17.050,
25,09/21/14 12:50:00 PM,23.189,59.764,14.954,
26,09/21/14 12:55:00 PM,24.055,71.593,18.626,
27,09/21/14 01:00:00 PM,23.838,64.168,16.680,
28,09/21/14 01:05:00 PM,23.477,68.194,17.298,
29,09/21/14 01:10:00 PM,24.344,76.856,20.046,
30,09/21/14 01:15:00 PM,23.790,61.024,15.845,
31,09/21/14 01:20:00 PM,23.621,68.279,17.456,
32,09/21/14 01:25:00 PM,24.465,76.096,20.003,
33,09/21/14 01:30:00 PM,23.549,60.281,15.427,
34,09/21/14 01:35:00 PM,23.766,70.830,18.177,
35,09/21/14 01:40:00 PM,24.392,73.394,19.349,
36,09/21/14 01:45:00 PM,23.453,58.297,14.816,
37,09/21/14 01:50:00 PM,23.693,70.225,17.971,
38,09/21/14 01:55:00 PM,24.392,72.836,19.226,
39,09/21/14 02:00:00 PM,23.429,58.046,14.726,
40,09/21/14 02:05:00 PM,23.766,69.229,17.813,
41,09/21/14 02:10:00 PM,24.344,71.500,18.883,
42,09/21/14 02:15:00 PM,23.309,60.794,15.333,
43,09/21/14 02:20:00 PM,23.958,74.160,19.098,
44,09/21/14 02:25:00 PM,24.223,67.339,17.810,
45,09/21/14 02:30:00 PM,23.213,56.962,14.232,
46,09/21/14 02:35:00 PM,23.958,71.428,18.496,
47,09/21/14 02:40:00 PM,24.151,66.877,17.631,
48,09/21/14 02:45:00 PM,23.429,65.006,16.496,
49,09/21/14 02:50:00 PM,24.272,75.767,19.746,
50,09/21/14 02:55:00 PM,23.910,62.357,16.297,
51,09/21/14 03:00:00 PM,23.429,64.976,16.489,
52,09/21/14 03:05:00 PM,24.320,75.544,19.745,
53,09/21/14 03:10:00 PM,24.079,61.560,16.254,
54,09/21/14 03:15:00 PM,23.477,64.229,16.353,
55,09/21/14 03:20:00 PM,24.248,75.034,19.566,
56,09/21/14 03:25:00 PM,23.958,61.999,16.252,
57,09/21/14 03:30:00 PM,23.453,60.634,15.428,
58,09/21/14 03:35:00 PM,24.175,73.235,19.105,
59,09/21/14 03:40:00 PM,23.717,62.173,16.069,
60,09/21/14 03:45:00 PM,23.357,66.827,16.863,
61,09/21/14 03:50:00 PM,24.272,76.899,19.985,
62,09/21/14 03:55:00 PM,23.693,61.895,15.976,
63,09/21/14 04:00:00 PM,23.357,67.485,17.018,
64,09/21/14 04:05:00 PM,24.296,76.933,20.016,
65,09/21/14 04:10:00 PM,23.621,61.028,15.687,
66,09/21/14 04:15:00 PM,23.165,63.298,15.828,
67,09/21/14 04:20:00 PM,24.103,74.655,19.344,
68,09/21/14 04:25:00 PM,23.645,63.985,16.452,
69,09/21/14 04:30:00 PM,23.381,68.325,17.237,
70,09/21/14 04:35:00 PM,24.296,77.511,20.137,
71,09/21/14 04:40:00 PM,23.645,60.634,15.609,
72,09/21/14 04:45:00 PM,23.285,65.944,16.585,
73,09/21/14 04:50:00 PM,24.175,76.705,19.851,
74,09/21/14 04:55:00 PM,23.669,62.074,15.999,
75,09/21/14 05:00:00 PM,23.237,66.086,16.573,
76,09/21/14 05:05:00 PM,24.175,76.677,19.845,
77,09/21/14 05:10:00 PM,23.693,62.169,16.046,
78,09/21/14 05:15:00 PM,23.285,63.591,16.014,
79,09/21/14 05:20:00 PM,24.248,73.513,19.236,
80,09/21/14 05:25:00 PM,23.525,62.416,15.949,
81,09/21/14 05:30:00 PM,23.549,70.435,17.880,
82,09/21/14 05:35:00 PM,24.417,76.522,20.046,
83,09/21/14 05:40:00 PM,23.549,59.729,15.283,
84,09/21/14 05:45:00 PM,23.501,68.615,17.419,
85,09/21/14 05:50:00 PM,24.417,77.073,20.162,
86,09/21/14 05:55:00 PM,23.573,60.438,15.490,
87,09/21/14 06:00:00 PM,23.501,69.715,17.671,
88,09/21/14 06:05:00 PM,24.368,76.512,19.997,
89,09/21/14 06:10:00 PM,23.453,59.529,15.141,
90,09/21/14 06:15:00 PM,23.405,66.356,16.797,
91,09/21/14 06:20:00 PM,24.320,74.523,19.525,
92,09/21/14 06:25:00 PM,23.357,61.627,15.591,
93,09/21/14 06:30:00 PM,23.742,72.712,18.573,
94,09/21/14 06:35:00 PM,24.223,69.729,18.366,
95,09/21/14 06:40:00 PM,23.261,58.298,14.636,
96,09/21/14 06:45:00 PM,23.717,72.354,18.471,
97,09/21/14 06:50:00 PM,24.223,70.441,18.528,
98,09/21/14 06:55:00 PM,23.285,58.240,14.643,
99,09/21/14 07:00:00 PM,23.742,72.271,18.475,
100,09/21/14 07:05:00 PM,24.223,70.649,18.575,
101,09/21/14 07:10:00 PM,23.261,57.897,14.529,
102,09/21/14 07:15:00 PM,23.669,69.181,17.710,
103,09/21/14 07:20:00 PM,24.079,66.864,17.559,
104,09/21/14 07:25:00 PM,23.141,60.186,15.018,
105,09/21/14 07:30:00 PM,23.934,74.564,19.162,
106,09/21/14 07:35:00 PM,24.006,66.070,17.301,
107,09/21/14 07:40:00 PM,23.069,56.600,13.999,
108,09/21/14 07:45:00 PM,23.814,72.608,18.619,
109,09/21/14 07:50:00 PM,24.127,69.235,18.160,
110,09/21/14 07:55:00 PM,23.237,62.125,15.604,
111,09/21/14 08:00:00 PM,24.031,75.661,19.490,
112,09/21/14 08:05:00 PM,23.982,64.586,16.919,
113,09/21/14 08:10:00 PM,23.117,58.430,14.536,
114,09/21/14 08:15:00 PM,23.982,72.405,18.737,
115,09/21/14 08:20:00 PM,23.910,66.384,17.285,
116,09/21/14 08:25:00 PM,23.309,65.768,16.566,
117,09/21/14 08:30:00 PM,24.223,76.773,19.912,
118,09/21/14 08:35:00 PM,23.766,62.790,16.270,
119,09/21/14 08:40:00 PM,23.261,62.312,15.673,
120,09/21/14 08:45:00 PM,24.175,75.049,19.499,
121,09/21/14 08:50:00 PM,23.693,64.538,16.633,
122,09/21/14 08:55:00 PM,23.381,67.699,17.091,
123,09/21/14 09:00:00 PM,24.320,77.805,20.222,
124,09/21/14 09:05:00 PM,23.669,61.158,15.766,
125,09/21/14 09:10:00 PM,23.261,63.496,15.968,
126,09/21/14 09:15:00 PM,24.175,75.777,19.654,
127,09/21/14 09:20:00 PM,23.742,64.425,16.651,
