"Plot Title: Room 12"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 10561435, SEN S/N: 10561435)","RH, % (LGR S/N: 10561435, SEN S/N: 10561435)","DewPt, °C (LGR S/N: 10561435, SEN S/N: 10561435)","Started (LGR S/N: 10561435, SEN S/N: 10561435)","Chan 2 Alarm Tripped (LGR S/N: 10561435, SEN S/N: 10561435)","Button Up (LGR S/N: 10561435, SEN S/N: 10561435)","Chan 2 Alarm Cleared (LGR S/N: 10561435, SEN S/N: 10561435)","Chan 1 Alarm Tripped (LGR S/N: 10561435, SEN S/N: 10561435)","Chan 1 Alarm Cleared (LGR S/N: 10561435, SEN S/N: 10561435)","Button Down (LGR S/N: 10561435, SEN S/N: 10561435)","Stopped (LGR S/N: 10561435, SEN S/N: 10561435)","Host Connected (LGR S/N: 10561435, SEN S/N: 10561435)","End Of File (LGR S/N: 10561435, SEN S/N: 10561435)"
1,11/11/14 05:19:07 PM,25.264,34.487,8.506,Logged,Logged,,,,,,,,
2,11/11/14 05:19:08 PM,,,,,,Logged,,,,,,,
3,11/11/14 05:19:15 PM,,,,,,,Logged,,,,,,
4,11/11/14 05:19:22 PM,,,,,Logged,,,,,,,,
5,11/11/14 05:24:07 PM,26.163,43.817,12.907,,,,,,,,,,
6,11/11/14 05:29:07 PM,25.361,38.118,10.080,,,,,,,,,,
7,11/11/14 05:34:07 PM,24.973,41.234,10.913,,,,,,,,,,
8,11/11/14 05:39:07 PM,25.871,43.653,12.585,,,,,,,,,,
9,11/11/14 05:44:07 PM,25.336,37.884,9.966,,,,,,,,,,
10,11/11/14 05:49:07 PM,24.973,40.677,10.708,,,,,,,,,,
11,11/11/14 05:54:07 PM,25.847,43.845,12.630,,,,,,,,,,
12,11/11/14 05:59:07 PM,25.264,38.273,10.054,,,,,,,,,,
13,11/11/14 06:04:07 PM,24.900,40.637,10.628,,,,,,,,,,
14,11/11/14 06:09:07 PM,25.993,44.643,13.038,,,,,,,,,,
15,11/11/14 06:14:07 PM,25.409,38.486,10.267,,,,,,,,,,
16,11/11/14 06:19:07 PM,24.852,36.444,8.960,,,,,,,,,,
17,11/11/14 06:19:22 PM,,,,,,,,Logged,,,,,
18,11/11/14 06:24:07 PM,25.458,47.807,13.603,,,,,,,,,,
19,11/11/14 06:29:07 PM,25.603,41.074,11.420,,,,,,,,,,
20,11/11/14 06:34:07 PM,25.118,37.034,9.435,,,,,,,,,,
21,11/11/14 06:39:07 PM,24.973,43.939,11.873,,,,,,,,,,
22,11/11/14 06:44:07 PM,25.822,43.289,12.414,,,,,,,,,,
23,11/11/14 06:49:07 PM,25.239,38.205,10.006,,,,,,,,,,
24,11/11/14 06:54:07 PM,24.755,39.637,10.125,,,,,,,,,,
25,11/11/14 06:59:07 PM,25.895,46.057,13.428,,,,,,,,,,
26,11/11/14 07:04:07 PM,25.433,39.116,10.532,,,,,,,,,,
27,11/11/14 07:09:07 PM,24.876,37.043,9.224,,,,,,,,,,
28,11/11/14 07:14:07 PM,25.579,49.041,14.107,,,,,,,,,,
29,11/11/14 07:19:07 PM,25.603,40.877,11.347,,,,,,,,,,
30,11/11/14 07:24:07 PM,25.045,37.358,9.500,,,,,,,,,,
31,11/11/14 07:29:07 PM,25.118,45.381,12.496,,,,,,,,,,
32,11/11/14 07:34:07 PM,25.749,42.824,12.183,,,,,,,,,,
33,11/11/14 07:39:07 PM,25.167,38.065,9.887,,,,,,,,,,
34,11/11/14 07:44:07 PM,24.706,36.596,8.894,,,,,,,,,,
35,11/11/14 07:49:07 PM,25.215,47.809,13.382,,,,,,,,,,
36,11/11/14 07:54:07 PM,25.652,42.650,12.034,,,,,,,,,,
37,11/11/14 07:59:07 PM,25.118,38.192,9.893,,,,,,,,,,
38,11/11/14 08:04:07 PM,24.803,41.934,11.014,,,,,,,,,,
39,11/11/14 08:09:07 PM,25.920,45.671,13.321,,,,,,,,,,
40,11/11/14 08:14:07 PM,25.361,39.339,10.552,,,,,,,,,,
41,11/11/14 08:19:07 PM,24.852,37.074,9.215,,,,,,,,,,
42,11/11/14 08:24:07 PM,25.482,49.060,14.024,,,,,,,,,,
43,11/11/14 08:29:07 PM,25.603,41.794,11.683,,,,,,,,,,
44,11/11/14 08:34:07 PM,24.924,38.172,9.714,,,,,,,,,,
45,11/11/14 08:39:07 PM,23.501,51.815,13.042,,,,,,,,,,
46,11/11/14 08:44:07 PM,22.949,52.117,12.621,,,,,,,,,,
47,11/11/14 08:49:07 PM,21.513,56.152,12.426,,,,,,,,,,
48,11/11/14 08:54:07 PM,22.062,65.912,15.415,,,,,,,,,,
49,11/11/14 08:59:07 PM,20.821,55.339,11.560,,,,,,,,,,
50,11/11/14 09:04:07 PM,21.036,68.318,14.995,,,,,,,,,,
51,11/11/14 09:09:07 PM,21.656,67.986,15.512,,,,,,,,,,
52,11/11/14 09:14:07 PM,20.321,64.475,13.420,,,,,,,,,,
53,11/11/14 09:19:07 PM,20.940,71.241,15.557,,,,,,,,,,
54,11/11/14 09:24:07 PM,21.561,69.241,15.707,,,,,,,,,,
55,11/11/14 09:29:07 PM,20.225,66.782,13.870,,,,,,,,,,
56,11/11/14 09:34:07 PM,20.892,71.933,15.663,,,,,,,,,,
57,11/11/14 09:39:07 PM,21.537,70.797,16.032,,,,,,,,,,
58,11/11/14 09:44:07 PM,20.201,67.044,13.908,,,,,,,,,,
59,11/11/14 09:49:07 PM,20.821,72.036,15.616,,,,,,,,,,
60,11/11/14 09:54:07 PM,21.489,70.993,16.029,,,,,,,,,,
61,11/11/14 09:59:07 PM,20.154,66.561,13.751,,,,,,,,,,
62,11/11/14 10:04:07 PM,20.702,71.897,15.471,,,,,,,,,,
63,11/11/14 10:09:07 PM,21.417,70.510,15.854,,,,,,,,,,
64,11/11/14 10:14:07 PM,20.201,65.589,13.570,,,,,,,,,,
65,11/11/14 10:19:07 PM,20.678,71.221,15.301,,,,,,,,,,
66,11/11/14 10:24:07 PM,21.393,69.358,15.573,,,,,,,,,,
67,11/11/14 10:29:07 PM,20.178,64.929,13.392,,,,,,,,,,
68,11/11/14 10:34:07 PM,20.606,70.476,15.069,,,,,,,,,,
69,11/11/14 10:39:07 PM,21.370,68.201,15.288,,,,,,,,,,
70,11/11/14 10:44:07 PM,20.154,64.207,13.198,,,,,,,,,,
71,11/11/14 10:49:07 PM,20.606,69.390,14.827,,,,,,,,,,
72,11/11/14 10:54:07 PM,21.370,66.776,14.959,,,,,,,,,,
73,11/11/14 10:59:07 PM,20.106,63.960,13.094,,,,,,,,,,
74,11/11/14 11:04:07 PM,20.583,68.236,14.544,,,,,,,,,,
75,11/11/14 11:09:07 PM,21.346,65.279,14.584,,,,,,,,,,
76,11/11/14 11:14:07 PM,20.154,64.087,13.169,,,,,,,,,,
77,11/11/14 11:19:07 PM,20.678,66.267,14.182,,,,,,,,,,
78,11/11/14 11:24:07 PM,21.393,62.490,13.954,,,,,,,,,,
