"","chamber","time.period","mean.temp","sd.temp","mean.RH","sd.RH","temp.offset.adj","RH.offset.adj"
"1","Chamber_1.csv","day",21.4,0.3,71.6,4,-0.6,10
"2","Chamber_2.csv","day",22.1,0.4,62.2,2.6,0.1,0
"3","Chamber_3.csv","day",21.9,0.4,61.6,2.3,-0.1,0
"4","Chamber_4.csv","day",22.4,0.5,59.8,2.6,0.4,-2
"5","Chamber_5a.csv","day",22.3,0.4,62,2.9,0.3,0
"6","Chamber_5b.csv","day",34.9,3.4,64.6,3.6,12.9,3
"7","Chamber_6A.csv","day",21.7,0.1,62.5,1,-0.3,0
"8","Chamber_6B.csv","day",23.8,1.6,28.7,4.4,1.8,-33
"9","Room_11.csv","day",23.8,0.5,61.9,7.6,1.8,0
"10","Room_12.csv","day",24.9,1,49.8,6.8,2.9,-12
"11","Chamber_1.csv","night",22.2,0.2,63.9,1.4,0.2,2
"12","Chamber_2.csv","night",22,0.7,62.8,2.9,0,1
"13","Chamber_3.csv","night",22,0.2,60.9,1.3,0,-1
"14","Chamber_4.csv","night",22.3,0.2,61.7,1.2,0.3,0
"15","Chamber_5a.csv","night",22.1,0.1,62.7,1.3,0.1,1
"16","Chamber_5b.csv","night",20.5,3,63.7,1.7,-1.5,2
"17","Chamber_6A.csv","night",21.9,0.1,62.2,0.7,-0.1,0
"18","Chamber_6B.csv","night",23.4,1.7,28.8,4.9,1.4,-33
"19","Room_11.csv","night",23.9,0.9,65.2,6.7,1.9,3
"20","Room_12.csv","night",21.9,2,63,10,-0.1,1
